"","genus","OGT"
"229","Alteromonas","28.9116848248109"
"230","Mesorhizobium","26.0780859702481"
"231","Desulfotomaculum","51.813357844708"
"232","Muricauda","27.8976832475358"
"233","Fervidobacterium","69.5103606450435"
"234","Nocardiopsis","30.3838782674069"
"235","Methylophaga","28.225776320287"
"236","Gracilibacillus","38.6611848214715"
"237","Dickeya","32.4561077681182"
"238","Gilvimarinus","29.3167245728082"
"239","Desulfatibacillum","29.2462995921288"
"240","Psychromonas","14.1832438124813"
"241","Thermocrinis","77.4692423982742"
"242","Arthrobacter_D","17.4866151942549"
"243","Enterococcus","35.2532143867898"
"244","Pseudomonas_B","28.1222106600171"
"245","Trabulsiella","31.9296257455653"
"246","Collimonas","20.9931036229449"
"247","Jeotgalibacillus","34.1399200776138"
"248","Martelella","28.4549193312966"
"249","Demequina","28.7835785590525"
"250","Azohydromonas","32.4483079299393"
"251","Chromobacterium","30.0497574961703"
"252","Enterococcus_A","33.8426261479058"
"253","Thalassospira","30.1233778895856"
"254","Exiguobacterium_A","27.703517073352"
"255","Geofilum","33.5494870303396"
"256","Sanguibacter","26.5190387546049"
"257","Caulobacter","25.9253974536494"
"258","Mariprofundus","27.8272309830039"
"259","Kangiella","32.8955454899246"
"260","Labedella","28.4719961608409"
"261","Brumimicrobium","24.9595745399253"
"262","Marmoricola","27.9783202622501"
"263","Zhihengliuella","27.7943433255178"
"264","Dyella","30.5861457746847"
"265","Luteibacter","26.2757230704945"
"266","Cellulosimicrobium","31.331286454686"
"267","Psychrobacillus","27.5221039236955"
"268","Apibacter","31.9663086841773"
"269","Leptotrichia","37.5111141309712"
"270","Allofrancisella","31.7644440334934"
"271","Winogradskyella","25.8497925714275"
"272","Cohnella","36.4543498114379"
"273","Amylibacter","27.7332743988515"
"274","Psychroflexus","24.8690360933164"
"275","Stigmatella","28.1796829546015"
"276","Melghirimyces","49.7138945118642"
"277","Polaromonas","19.510175785371"
"278","Erwinia","28.5548466902709"
"279","Roseobacter","21.8756136802313"
"280","Rhodomicrobium","26.8774141100408"
"281","Thermaerobacter","70.7006921805553"
"282","Salmonella","35.1611801135102"
"283","Aequorivita","18.309455641431"
"284","Rheinheimera","30.1209981892591"
"285","Brochothrix","24.6201167014781"
"286","Desulfobulbus","34.2806404337891"
"287","Legionella","33.3585308183533"
"288","Kordia","24.7109212997432"
"289","Thermobifida","45.0636520660838"
"290","Sporosarcina","25.7610813680941"
"291","Salisediminibacterium","32.0498202173074"
"292","Oceanisphaera","26.4671835147274"
"293","Rhodoferax","25.6772428910766"
"294","Carboxydothermus","65.7813489652422"
"295","Lentzea","25.440355869535"
"296","Francisella","27.5924775043931"
"297","Idiomarina","32.0113472372497"
"298","Marinimicrobium","35.6027920186283"
"299","Amphritea","22.0917434804724"
"300","Agromyces","25.8466288381807"
"301","Sphaerotilus","27.545496501887"
"302","Kitasatospora","26.8221133137388"
"303","Longispora","28.0931235995021"
"304","Aquimarina","26.8574248199614"
"305","Lactococcus","31.9004871473555"
"306","Acetomicrobium","54.1698453486939"
"307","Loktanella","23.3457607668246"
"308","Chromohalobacter","29.5250486379871"
"309","Azospirillum","29.8258019680737"
"310","Deferribacter","58.5936716270979"
"311","Thermosipho","69.3371834293214"
"312","Thermodesulfobium","52.1124060448926"
"313","Oceanibaculum","30.5133356498704"
"314","Cytophaga","26.8698643592483"
"315","Serratia","26.6236135831149"
"316","Arenibacter","22.4291613614124"
"317","Bartonella","34.3664361824324"
"318","Spiroplasma","32.2360246079638"
"319","Planococcus","27.3997890780862"
"320","Acetobacterium","22.4465653633321"
"321","Ruegeria","34.3043294219681"
"322","Henriciella","27.5182210899779"
"323","Ottowia","29.006547699679"
"324","Pannonibacter","31.7937176555783"
"325","Euzebya","27.1640625286325"
"326","Aliidiomarina","32.1375218786124"
"327","Rubrivivax","32.2837844227773"
"328","Macrococcus","34.7733954035801"
"329","Polyangium","28.5468061545169"
"330","Prosthecobacter","27.8521154405068"
"331","Edaphobacter","25.8300720264752"
"332","Roseibacillus","33.0787536445332"
"333","Acetoanaerobium","35.7471957927936"
"334","Ancylobacter","28.3507140252477"
"335","Echinicola","31.6235137017187"
"336","Leucobacter","33.4363484937505"
"337","Halolactibacillus","36.3888357456845"
"338","Dysgonomonas","35.0327214965407"
"339","Cellulophaga","24.8463580364335"
"340","Listeria","32.5569508241037"
"341","Cardiobacterium","35.1944976548023"
"342","Reyranella","26.5359549096087"
"343","Chlorobium","30.5666607753536"
"344","Brachyspira","39.0136839111387"
"345","Cellulosilyticum","38.0960287969757"
"346","Hippea","58.4391451706427"
"347","Cecembia","36.9503562677366"
"348","Thiomicrorhabdus","30.008696125336"
"349","Limimaricola","31.0204445827489"
"350","Hyphomonas","29.1269658396998"
"351","Salinisphaera","32.1522353570213"
"352","Devosia","26.6396477469804"
"353","Cyclobacterium","26.6399069138047"
"354","Roseivirga","23.6252950245442"
"355","Thermodesulfatator","68.2167792618524"
"356","Thermogemmatispora","58.4049064713909"
"357","Floricoccus","33.4804960317232"
"358","Domibacillus","36.1044245384141"
"359","Roseomonas","33.3291695349254"
"360","Halioglobus","23.4250868565648"
"361","Capnocytophaga","33.4119967172353"
"362","Thermovibrio","73.7300149642675"
"363","Tepidimonas","50.427536328951"
"364","Pseudoxanthomonas_A","30.3529002041714"
"365","Thermomonas","32.1841361908629"
"366","Kroppenstedtia","47.466116386145"
"367","Streptosporangium","32.3718924012519"
"368","Marinitoga","63.4987832421747"
"369","Afifella","29.3479586068434"
"370","Litoreibacter","26.4053317338505"
"371","Alicyclobacillus","51.9397441077822"
"372","Cohaesibacter","27.5979490088206"
"373","Providencia","35.0508821244806"
"374","Bacillus_A","33.5252891583028"
"375","Desulfitobacterium","32.9089020839627"
"376","Dietzia","32.1454697151898"
"377","Cupriavidus","29.186084722589"
"378","Bordetella","34.654410189174"
"379","Anaerostipes","39.3717312886467"
"380","Rubritalea","27.1686001444783"
"381","Halobacillus","34.6858532741139"
"382","Arenimonas","35.0205831511526"
"383","Actinotalea","30.2738521625507"
"384","Pseudothermotoga_A","71.9393863428537"
"385","Elizabethkingia","32.7761870446841"
"386","Moraxella","31.1924986466278"
"387","Ammonifex","71.0470307719486"
"388","Mariniphaga","34.8018166050169"
"389","Pectinatus","30.9887486574436"
"390","Rummeliibacillus","33.18822299172"
