,accession,domain,phylum,class,order,family,genus,species,OGT,selected
1442,RS_GCF_900101865.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,paracoccus isoporae,27.5,False
1443,RS_GCF_900102745.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Geodermatophilaceae,Geodermatophilus,geodermatophilus telluris,27.5,True
1444,RS_GCF_900102815.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Glycomyces,glycomyces sambucus,28.5,True
1445,RS_GCF_900102885.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,paracoccus chinensis,32.5,False
1446,RS_GCF_900103135.1,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,Halarsenatibacteraceae,Halarsenatibacter,halarsenatibacter silvermanii,44.0,True
1447,RS_GCF_900103285.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Siphonobacter,siphonobacter aquaeclarae,33.5,True
1448,RS_GCF_900107405.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Tindalliaceae,Tindallia,tindallia californiensis,35.0,True
1449,RS_GCF_900107725.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Microbulbifer,microbulbifer marinus,27.5,False
1450,RS_GCF_900109035.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cribrihabitans,cribrihabitans marinus,32.5,True
1451,RS_GCF_900113275.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Neptunomonas,neptunomonas qingdaonensis,20.0,True
1452,RS_GCF_900115015.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Algoriella,algoriella xinjiangensis,18.0,True
1453,RS_GCF_900115815.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseivivax,roseivivax halotolerans,29.0,False
1454,RS_GCF_900129085.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,atopostipes suicloacalis,29.0,True
1455,RS_GCF_900129275.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Arenibacter,arenibacter palladensis,24.0,True
1456,RS_GCF_900129375.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Streptoalloteichus,streptoalloteichus hindustanus,45.0,True
1457,RS_GCF_900129545.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,flavobacterium fluvii,27.5,False
1458,RS_GCF_900129615.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pectobacterium,pectobacterium carotovorum,26.875,False
1459,RS_GCF_900141855.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pseudozobellia,pseudozobellia thermophila,26.5,True
1460,RS_GCF_900142395.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,hymenobacter psychrotolerans,19.33333333333333,True
1461,RS_GCF_900142415.1,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rhodothermus,rhodothermus profundi,70.83333333333333,True
1462,RS_GCF_900142885.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,flavobacterium xinjiangense,11.0,True
1463,RS_GCF_900156605.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Insolitispirillum,insolitispirillum peregrinum,32.0,True
1464,RS_GCF_900167535.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,prosthecobacter debontii,26.0,False
1465,RS_GCF_900175965.1,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,rubrobacter radiotolerans,60.0,True
1466,RS_GCF_900176305.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_I,clostridium_i acidisoli,27.5,False
1467,RS_GCF_900197855.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter_E,helicobacter_e cynogastricus,33.5,True
1468,RS_GCF_900215205.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,actinoplanes atraurantiacus,27.5,False
1469,RS_GCF_900447535.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Dermacoccus,dermacoccus nishinomiyaensis,20.0,True
1470,RS_GCF_900457465.1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,sphingobacterium multivorum,29.3333333333333,False
1471,RS_GCF_900660615.1,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmoidaceae,Malacoplasma,malacoplasma iowae,39.5,True
1472,GB_GCA_000517005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,microvirga lupini,39.0,False
1473,GB_GCA_000831005.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,marinobacter salarius,27.5,False
1474,GB_GCA_000953695.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Aliivibrio,aliivibrio wodanis,12.5,True
1475,GB_GCA_000953735.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Moritellaceae,Moritella,moritella viscosa,12.5,True
1476,GB_GCA_000967895.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,DSM-6294,Oleispira,oleispira antarctica,15.0,True
1477,GB_GCA_009720755.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,rhodoplanes serenus,35.0,True
1478,RS_GCF_000006945.2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,salmonella enterica,36.7145,True
1479,RS_GCF_000019525.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,shewanella woodyi,25.4165,True
1480,RS_GCF_000021645.1,Bacteria,Dictyoglomota,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,dictyoglomus turgidum,75.0,True
1481,RS_GCF_000024925.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Sanguibacter,sanguibacter keddieii,27.5,False
